SMILES,ChEMBL_ID,IC50,pIC50,MW,LogP,QED,SAS,SELFIES
CC(C)O[C@@H]1[C@H](OC(C)C)[C@@H](C[O-])O[C@H]1n1c[n+](C)c2c(=O)[nH]c(N)nc21,CHEMBL3350707,400.0,-2.6020599913279625,381.4330000000001,-1.0237999999999958,0.6120737663340854,5.021975894079885,[C][C][Branch1][C][C][O][C@@H1][C@H1][Branch1][#Branch1][O][C][Branch1][C][C][C][C@@H1][Branch1][Ring1][C][O-1][O][C@H1][Ring1][O][N][C][=N+1][Branch1][C][C][C][C][=Branch1][C][=O][NH1][C][Branch1][C][N][=N][C][=Ring1][Branch2][Ring1][N]
CC(C)O[C@@H]1[C@H](OC(C)C)[C@@H](C[O-])O[C@H]1n1c[n+](Cc2ccccc2)c2c(=O)[nH]c(N)nc21,CHEMBL3350708,400.0,-2.6020599913279625,457.5310000000002,0.4875000000000029,0.4706412793198061,4.735780282171069,[C][C][Branch1][C][C][O][C@@H1][C@H1][Branch1][#Branch1][O][C][Branch1][C][C][C][C@@H1][Branch1][Ring1][C][O-1][O][C@H1][Ring1][O][N][C][=N+1][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C][=Branch1][C][=O][NH1][C][Branch1][C][N][=N][C][=Ring1][Branch2][Ring2][Ring1][C]
CC(C)Oc1cc(C#N)ccc1Nc1ncnc2ccn(C)c12,CHEMBL5195560,7.5,-0.8750612633917001,307.3570000000001,3.3707800000000008,0.7994395642764814,2.6207232049264952,[C][C][Branch1][C][C][O][C][=C][C][Branch1][Ring1][C][#N][=C][C][=C][Ring1][Branch2][N][C][=N][C][=N][C][C][=C][N][Branch1][C][C][C][Ring1][#Branch2][=Ring1][=Branch1]
CC(C)Oc1cc(F)ccc1Nc1ncnc2cc(C(=O)NCC3CCNCC3)n(C)c12,CHEMBL5203734,6.7,-0.8260748027008264,440.5230000000003,3.3676000000000004,0.5217232773940086,2.801953458372269,[C][C][Branch1][C][C][O][C][=C][C][Branch1][C][F][=C][C][=C][Ring1][#Branch1][N][C][=N][C][=N][C][C][=C][Branch1][#C][C][=Branch1][C][=O][N][C][C][C][C][N][C][C][Ring1][=Branch1][N][Branch1][C][C][C][Ring2][Ring1][Ring2][=Ring1][S]
CC(C)Oc1cc(F)ccc1Nc1ncnc2cc(C(=O)NCCCN(C)C)n(C)c12,CHEMBL5186068,7.4,-0.8692317197309762,428.5120000000003,3.319700000000001,0.5088913629398355,2.6758401973412163,[C][C][Branch1][C][C][O][C][=C][C][Branch1][C][F][=C][C][=C][Ring1][#Branch1][N][C][=N][C][=N][C][C][=C][Branch1][=C][C][=Branch1][C][=O][N][C][C][C][N][Branch1][C][C][C][N][Branch1][C][C][C][Ring2][Ring1][Ring1][=Ring1][#C]
CC(C)Oc1cc(F)ccc1Nc1ncnc2sc(C(=O)NCC3CCNCC3)nc12,CHEMBL5197975,7.1,-0.8512583487190752,444.5360000000003,3.4856000000000007,0.5128030771226642,2.8386627355816536,[C][C][Branch1][C][C][O][C][=C][C][Branch1][C][F][=C][C][=C][Ring1][#Branch1][N][C][=N][C][=N][C][S][C][Branch1][#C][C][=Branch1][C][=O][N][C][C][C][C][N][C][C][Ring1][=Branch1][=N][C][Ring2][Ring1][Ring1][=Ring1][#C]
CC(C)Oc1cc(F)ccc1Nc1ncnc2sc(C(=O)NCCN3CCNCC3)nc12,CHEMBL5205835,7.4,-0.8692317197309762,459.55100000000033,2.3911999999999995,0.47181060249838985,2.8176652541016214,[C][C][Branch1][C][C][O][C][=C][C][Branch1][C][F][=C][C][=C][Ring1][#Branch1][N][C][=N][C][=N][C][S][C][Branch1][S][C][=Branch1][C][=O][N][C][C][N][C][C][N][C][C][Ring1][=Branch1][=N][C][Ring2][Ring1][Ring2][=Ring1][S]
CC(C)c1ccc(C[n+]2cn([C@@H]3O[C@H](CNc4c(O)c(=O)c4=O)[C@@H](O)[C@H]3O)c3nc(N)[nH]c(=O)c32)cc1,CHEMBL5271529,,,511.51500000000027,-1.2010999999999976,0.12944774836249826,4.5226305252840495,[C][C][Branch1][C][C][C][=C][C][=C][Branch2][Branch1][Branch1][C][N+1][=C][N][Branch2][Ring1][=N][C@@H1][O][C@H1][Branch1][S][C][N][C][=C][Branch1][C][O][C][=Branch1][C][=O][C][Ring1][=Branch1][=O][C@@H1][Branch1][C][O][C@H1][Ring1][#C][O][C][N][=C][Branch1][C][N][NH1][C][=Branch1][C][=O][C][=Ring1][Branch2][Ring2][Ring1][O][C][=C][Ring2][Ring2][C]
CC(C)c1ncncc1-c1ccc(-c2nc(-c3ccc(Cl)c(Cl)c3)cs2)cc1C(=O)O,CHEMBL3659452,11000.0,-4.041392685158225,470.38100000000014,7.062500000000004,0.33789345168280754,2.6157121916660593,[C][C][Branch1][C][C][C][=N][C][=N][C][=C][Ring1][=Branch1][C][=C][C][=C][Branch2][Ring1][Branch2][C][=N][C][Branch1][#C][C][=C][C][=C][Branch1][C][Cl][C][Branch1][C][Cl][=C][Ring1][Branch2][=C][S][Ring1][=N][C][=C][Ring2][Ring1][Ring1][C][=Branch1][C][=O][O]
CC(NC(=O)c1ccc(-c2ccc(-c3nc(-c4ccc(Cl)c(Cl)c4)cs3)cc2C(=O)O)cc1)c1ccccc1,CHEMBL3659436,970.0,-2.9867717342662448,573.5010000000002,8.640100000000002,0.20430990084311182,2.75488179494967,[C][C][Branch2][Branch1][#Branch2][N][C][=Branch1][C][=O][C][=C][C][=C][Branch2][Ring2][=Branch2][C][=C][C][=C][Branch2][Ring1][Branch2][C][=N][C][Branch1][#C][C][=C][C][=C][Branch1][C][Cl][C][Branch1][C][Cl][=C][Ring1][Branch2][=C][S][Ring1][=N][C][=C][Ring2][Ring1][Ring1][C][=Branch1][C][=O][O][C][=C][Ring2][Ring1][N][C][=C][C][=C][C][=C][Ring1][=Branch1]
